Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,HH Support Beneficiaries Selected,"First Installment (conditional PHP 6,000)","Second Installment (conditional PHP 4,000)",HH Support PDM,Skills Dev Trainees Selected,Training Started,Training Completed,Trainees Placed,Selection of Enterprise,Beneficiary Submitted Business Plan,Enterprise Support Completed (cash transferred),Comm Proposals Submitted,Support Initiated,Project Turnover
060400000,060402000,060402001,Spanish Red Cross,Aklan,Balete,Aranas,,,225,,,,,,,,,,,,,
060400000,060402000,060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,,114,,,,,,,,,,,,,
060400000,060402000,060402004,Spanish Red Cross,Aklan,Balete,Calizo,,,250,,,,,,,,,,,,,
060400000,060402000,060402005,Spanish Red Cross,Aklan,Balete,Cortes,,,184,,,,,,,,,,,,,
060400000,060402000,060402008,Spanish Red Cross,Aklan,Balete,Guanko,,,70,,,,,,,,,,,,,
060400000,060402000,060402009,Spanish Red Cross,Aklan,Balete,Morales,,,146,,,,,,,,,,,,,
060400000,060402000,060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,,55,,,,,,,,,,,,,
060400000,060403000,060403001,IFRC,Aklan,Banga,Agbanawan,,,61,,,,,,,,,,,,,
060400000,060403000,060403001,IFRC,Aklan,Banga,Agbanawan,,,,56,,,,,,,,,,,,
060400000,060403000,060403003,IFRC,Aklan,Banga,Badiangan,,,82,,,,,,,,,,,,,
060400000,060403000,060403005,IFRC,Aklan,Banga,Cupang,,,42,,,,,,,,,,,,,
060400000,060403000,060403006,IFRC,Aklan,Banga,Daguitan,,,32,,,,,,,,,,,,,
060400000,060403000,060403007,IFRC,Aklan,Banga,Daja Norte,,,55,,,,,,,,,,,,,
060400000,060403000,060403007,IFRC,Aklan,Banga,Daja Norte,,,,51,,,,,,,,,,,,
060400000,060403000,060403008,IFRC,Aklan,Banga,Daja Sur,,,71,,,,,,,,,,,,,
060400000,060403000,060403008,IFRC,Aklan,Banga,Daja Sur,,,,63,,,,,,,,,,,,
060400000,060403000,060403009,IFRC,Aklan,Banga,Dingle,,,120,,,,,,,,,,,,,
060400000,060403000,060403009,IFRC,Aklan,Banga,Dingle,,,,105,,,,,,,,,,,,
060400000,060403000,060403012,IFRC,Aklan,Banga,Libas,,,46,,,,,,,,,,,,,
060400000,060403000,060403014,IFRC,Aklan,Banga,Mambog,,,132,,,,,,,,,,,,,
060400000,060403000,060403015,IFRC,Aklan,Banga,Mangan,,,127,,,,,,,,,,,,,
060400000,060403000,060403016,IFRC,Aklan,Banga,Muguing,,,51,,,,,,,,,,,,,
060400000,060403000,060403017,IFRC,Aklan,Banga,Pagsanghan,,,135,,,,,,,,,,,,,
060400000,060403000,060403018,IFRC,Aklan,Banga,Palale,,,34,,,,,,,,,,,,,
060400000,060403000,060403020,IFRC,Aklan,Banga,Polo,,,39,,,,,,,,,,,,,
060400000,060403000,060403021,IFRC,Aklan,Banga,Polocate,,,150,,,,,,,,,,,,,
060400000,060403000,060403022,IFRC,Aklan,Banga,San Isidro,,,31,,,,,,,,,,,,,
060400000,060403000,060403022,IFRC,Aklan,Banga,San Isidro,,,,28,,,,,,,,,,,,
060400000,060403000,060403023,IFRC,Aklan,Banga,Sibalew,,,66,,,,,,,,,,,,,
060400000,060403000,060403023,IFRC,Aklan,Banga,Sibalew,,,,65,,,,,,,,,,,,
060400000,060403000,060403024,IFRC,Aklan,Banga,Sigcay,,,50,,,,,,,,,,,,,
060400000,060403000,060403025,IFRC,Aklan,Banga,Taba-ao,,,54,,,,,,,,,,,,,
060400000,060403000,060403026,IFRC,Aklan,Banga,Tabayon,,,96,,,,,,,,,,,,,
060400000,060403000,060403028,IFRC,Aklan,Banga,Torralba,,,102,,,,,,,,,,,,,
060400000,060403000,060403029,IFRC,Aklan,Banga,Ugsod,,,115,,,,,,,,,,,,,
