Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour,Additional Comments 
061900000,061909000,061909006,IFRC,Capiz,Panay,Bago Chiquito,,3/27/14,13,,,,,,,,,,,,,,,,
061900000,061909000,061909007,IFRC,Capiz,Panay,Bago Grande,,3/27/14,13,,,,,,,,,,,,,,,,
061900000,061909000,061909022,IFRC,Capiz,Panay,Daga,,3/28/14,13,,,,,,,,,,,,,,,,
061900000,061909000,061909031,IFRC,Capiz,Panay,Lus-Onan,,3/28/14,5,,,,,,,,,,,,,,,,
061900000,061909000,061909017,IFRC,Capiz,Panay,Cabugao Oeste,,3/29/14,11,,,,,,,,,,,,,,,,
061900000,061909000,061909027,IFRC,Capiz,Panay,Libon,,3/29/14,13,,,,,,,,,,,,,,,,
061900000,061909000,061909028,IFRC,Capiz,Panay,Linao,,4/1/14,10,,,,,,,,,,,,,,,,
061900000,061909000,061909020,IFRC,Capiz,Panay,Candual,,4/2/14,13,,,,,,,,,,,,,,,,
061900000,061910000,061910006,IFRC,Capiz,Panitan,Balatucan,,4/2/14,21,,,,,,,,,,,,,,,,
061900000,061910000,061910012,IFRC,Capiz,Panitan,Capagao,,4/2/14,13,,,,,,,,,,,,,,,,
061900000,061910000,061910004,IFRC,Capiz,Panitan,Ambilay,,4/3/14,1,,,,,,,,,,,,,,,,
061900000,061910000,061910017,IFRC,Capiz,Panitan,Pasugue,,4/3/14,9,,,,,,,,,,,,,,,,
061900000,061909000,061909008,IFRC,Capiz,Panay,Bahit,,4/4/14,4,,,,,,,,,,,,,,,,
061900000,061909000,061909011,IFRC,Capiz,Panay,Binangig,,4/4/14,8,,,,,,,,,,,,,,,,
061900000,061909000,061909032,IFRC,Capiz,Panay,Magubilan,,4/4/14,3,,,,,,,,,,,,,,,,
061900000,061910000,061910009,IFRC,Capiz,Panitan,Cabangahan,,4/4/14,15,,,,,,,,,,,,,,,,
061900000,061910000,061910008,IFRC,Capiz,Panitan,Cabugao,,4/4/14,3,,,,,,,,,,,,,,,,
061900000,061909000,061909012,IFRC,Capiz,Panay,Binantuan,,4/7/14,16,,,,,,,,,,,,,,,,
061900000,061909000,061909006,IFRC,Capiz,Panay,Bago Chiquito,,4/8/14,,,,13,,,,,,,,,,,,,
061900000,061909000,061909007,IFRC,Capiz,Panay,Bago Grande,,4/8/14,,,,13,,,,,,,,,,,,,
061900000,061909000,061909011,IFRC,Capiz,Panay,Binangig,,4/8/14,,,,8,,,,,,,,,,,,,
061900000,061909000,061909012,IFRC,Capiz,Panay,Binantuan,,4/8/14,,,,16,,,,,,,,,,,,,
061900000,061909000,061909017,IFRC,Capiz,Panay,Cabugao Oeste,,4/8/14,,,,11,,,,,,,,,,,,,
061900000,061909000,061909020,IFRC,Capiz,Panay,Candual,,4/8/14,,,,13,,,,,,,,,,,,,
061900000,061909000,061909022,IFRC,Capiz,Panay,Daga,,4/8/14,,,,13,,,,,,,,,,,,,
061900000,061909000,061909027,IFRC,Capiz,Panay,Libon,,4/8/14,,,,13,,,,,,,,,,,,,
061900000,061909000,061909028,IFRC,Capiz,Panay,Linao,,4/8/14,,,,10,,,,,,,,,,,,,
061900000,061909000,061909031,IFRC,Capiz,Panay,Lus-Onan,,4/8/14,,,,5,,,,,,,,,,,,,
072200000,072243000,072243001,IFRC,Cebu,San Remigio,Anapog,,4/8/14,,,,16,,,,,,,,,,,,,
072200000,072243000,072243002,IFRC,Cebu,San Remigio,Argawanon,,4/8/14,,,,20,,,,,,,,,,,,,
072200000,072243000,072243003,IFRC,Cebu,San Remigio,Bagtic,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243004,IFRC,Cebu,San Remigio,Bancasan,,4/8/14,,,,16,,,,,,,,,,,,,
072200000,072243000,072243005,IFRC,Cebu,San Remigio,Batad,,4/8/14,,,,18,,,,,,,,,,,,,
072200000,072243000,072243006,IFRC,Cebu,San Remigio,Busogon,,4/8/14,,,,18,,,,,,,,,,,,,
072200000,072243000,072243007,IFRC,Cebu,San Remigio,Calambua,,4/8/14,,,,18,,,,,,,,,,,,,
072200000,072243000,072243008,IFRC,Cebu,San Remigio,Canagahan,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243009,IFRC,Cebu,San Remigio,Dapdap,,4/8/14,,,,37,,,,,,,,,,,,,
072200000,072243000,072243010,IFRC,Cebu,San Remigio,Gawaygaway,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243011,IFRC,Cebu,San Remigio,Hagnaya,,4/8/14,,,,16,,,,,,,,,,,,,
072200000,072243000,072243012,IFRC,Cebu,San Remigio,Kayam,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243013,IFRC,Cebu,San Remigio,Kinawahan,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243014,IFRC,Cebu,San Remigio,Lambusan,,4/8/14,,,,24,,,,,,,,,,,,,
072200000,072243000,072243015,IFRC,Cebu,San Remigio,Lawis,,4/8/14,17,,,17,,,,,,,,,,,,,
072200000,072243000,072243016,IFRC,Cebu,San Remigio,Libaong,,4/8/14,,,,13,,,,,,,,,,,,,
072200000,072243000,072243017,IFRC,Cebu,San Remigio,Looc,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243018,IFRC,Cebu,San Remigio,Luyang,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243019,IFRC,Cebu,San Remigio,Mano,,4/8/14,,,,19,,,,,,,,,,,,,
072200000,072243000,072243020,IFRC,Cebu,San Remigio,Poblacion,,4/8/14,,,,20,,,,,,,,,,,,,
072200000,072243000,072243021,IFRC,Cebu,San Remigio,Punta,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243022,IFRC,Cebu,San Remigio,Sab-a,,4/8/14,,,,17,,,,,,,,,,,,,
072200000,072243000,072243023,IFRC,Cebu,San Remigio,San Miguel,,4/8/14,,,,17,,,,,,,,,,,,,
