Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour
060400000,060402000,060402001,Spanish Red Cross,Aklan,Balete,Aranas,,5/16/14,141,,,,,222,222,78,,,,,,,,
060400000,060402000,060402001,Spanish Red Cross,Aklan,Balete,Aranas,,7/21/14,,,,,,,,,1,6,,,,,,
060400000,060402000,060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,6/20/14,151,,,,,207,207,56,,,,,,,,
060400000,060402000,060402004,Spanish Red Cross,Aklan,Balete,Calizo,,6/12/14,229,,,,,352,352,119,,,,,,,,
060400000,060402000,060402005,Spanish Red Cross,Aklan,Balete,Cortes,,6/12/14,115,,,,,204,204,88,,,,,,,,
060400000,060402000,060402006,Spanish Red Cross,Aklan,Balete,Feliciano,,,158,,,,,,,75,,,,,,,,
060400000,060402000,060402007,Spanish Red Cross,Aklan,Balete,Fulgencio,,,195,,,,,,,82,,,,,,,,
060400000,060402000,060402008,Spanish Red Cross,Aklan,Balete,Guanko,,5/6/14,62,,,,,89,89,27,,,,,,,,
060400000,060402000,060402009,Spanish Red Cross,Aklan,Balete,Morales,,6/11/14,198,,,,,206,206,86,,,,,,,,
060400000,060402000,060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,5/7/14,52,,,,,78,78,26,,,,,,,,
060400000,060403000,060403002,IFRC,Aklan,Banga,Bacan,,,3,,,,,,,26,,,,,,,,
060400000,060403000,060403004,IFRC,Aklan,Banga,Cerrudo,,,49,,,,,,,11,,,,,,,,
060400000,060403000,060403005,IFRC,Aklan,Banga,Cupang,,,14,,,,,,,,,,,,,,,
060400000,060403000,060403009,IFRC,Aklan,Banga,Dingle,,,,,,,,,,31,,,,,,,,
060400000,060403000,060403010,IFRC,Aklan,Banga,Jumarap,,,44,,,,,,,15,,,,,,,,
060400000,060403000,060403012,IFRC,Aklan,Banga,Libas,,,57,,,,,,,11,,,,,,,,
060400000,060403000,060403014,IFRC,Aklan,Banga,Mambog,,,75,,,,,,,23,,,,,,,,
060400000,060403000,060403015,IFRC,Aklan,Banga,Mangan,,,17,,,,,,,8,,,,,,,,
060400000,060403000,060403016,IFRC,Aklan,Banga,Muguing,,,25,,,,,,,6,,,,,,,,
