web_code,location,_location_latitude,_location_longitude,_location_altitude,_location_precision,today,start_time,end_time,meta/instanceID,_uuid,_submission_time
A_PH072209001_00005,11.24545754985123 123.755125478172 73.98714048882864 12.0,11.24545755,123.7551255,73.98714049,12,1/8/07,null,null,uuid:c20ee93d-8e0a-4810-ad73-6c038200fc5a,c20ee93d-8e0a-4810-ad73-6c038200fc5a,2014-07-04T13:22:44
A_PH072209001_00004,11.243971548896466 123.75526702942526 76.76029404512494 16.0,11.24397155,123.755267,76.76029405,16,1/8/07,null,null,uuid:4b5ac694-562f-412f-b7dc-04749f6c5a42,4b5ac694-562f-412f-b7dc-04749f6c5a42,2014-07-04T13:22:31
A_PH072209001_00011,11.245285152392222 123.75424491312847 70.06517178186705 4.0,11.24528515,123.7542449,70.06517178,4,7/10/14,null,null,uuid:340c0ff5-c16b-48b2-8de2-88bb697290dc,340c0ff5-c16b-48b2-8de2-88bb697290dc,2014-07-14T06:40:32
A_PH072209001_00006,11.24427217335209 123.75552197317697 200.2117123188422 32.0,11.24427217,123.755522,200.2117123,32,1/8/07,null,null,uuid:8aff80f9-26c7-4278-ad63-36ab2c5737b9,8aff80f9-26c7-4278-ad63-36ab2c5737b9,2014-07-04T13:22:39
A_PH072209001_00009,11.23537972237895 123.75874445559286 79.06755746476752 12.0,11.23537972,123.7587445,79.06755746,12,1/8/07,null,null,uuid:c89c7a1d-a911-4115-a222-fca9c8e7c225,c89c7a1d-a911-4115-a222-fca9c8e7c225,2014-07-04T13:26:08
A_PH072209001_00008,11.245454645959054 123.75522780241883 -45.3093855217304 24.0,11.24545465,123.7552278,-45.30938552,24,7/10/14,null,null,uuid:6d72c4ba-a0c3-4801-9ef0-55fbe6b42057,6d72c4ba-a0c3-4801-9ef0-55fbe6b42057,2014-07-14T06:40:32
A_PH072209001_00003,11.243130106755128 123.75418362407079 68.64143002781827 12.0,11.24313011,123.7541836,68.64143003,12,1/8/07,null,null,uuid:692bdc16-e7dd-49ae-b2df-ba5820909225,692bdc16-e7dd-49ae-b2df-ba5820909225,2014-07-07T02:01:09
A_PH072209001_00001,11.24765170712658 123.75443799734605 98.51779609327069 12.0,11.24765171,123.754438,98.51779609,12,1/11/07,null,null,uuid:09bf064d-00ef-4acd-b40d-f13d85fefb02,09bf064d-00ef-4acd-b40d-f13d85fefb02,2014-07-08T00:08:10
A_PH072209001_00007,11.2464754253428 123.75552164711297 65.62302937723157 16.0,11.24647543,123.7555216,65.62302938,16,1/8/07,null,null,uuid:38de5f5f-6989-456e-affd-d2341e9dba27,38de5f5f-6989-456e-affd-d2341e9dba27,2014-07-04T13:23:46
A_PH072209001_00002,11.249818754623417 123.75582880070604 83.4667032430047 128.0,11.24981875,123.7558288,83.46670324,128,1/11/07,null,null,uuid:079e2320-6dcd-43cd-97a0-500e756ce02b,079e2320-6dcd-43cd-97a0-500e756ce02b,2014-07-08T00:08:11
A_PH072209003_00012,11.213041112762749 123.71234885637111 81.77095751170285 4.0,11.21304111,123.7123489,81.77095751,4,7/8/14,null,null,uuid:2aa41b29-5a71-4fba-8d3f-23d6d6ad4610,2aa41b29-5a71-4fba-8d3f-23d6d6ad4610,2014-07-08T09:09:27
A_PH072209003_00013,11.216757376132177 123.7033303845957 75.34525454568553 6.0,11.21675738,123.7033304,75.34525455,6,7/8/14,null,null,uuid:a9eef8ac-777c-49a3-974a-a6197d5f7924,a9eef8ac-777c-49a3-974a-a6197d5f7924,2014-07-08T09:12:22
A_PH072209009_00014,11.193715356027091 123.7141212673501 80.93950438969557 4.0,11.19371536,123.7141213,80.93950439,4,7/8/14,null,null,uuid:09a3a727-f1fc-415c-9822-961e118a56e5,09a3a727-f1fc-415c-9822-961e118a56e5,2014-07-08T09:12:22
A_PH072209009_00015,11.200728439810348 123.70831992458537 67.98753477213018 4.0,11.20072844,123.7083199,67.98753477,4,7/8/14,null,null,uuid:52329998-08f1-451f-aab5-97ca2de28668,52329998-08f1-451f-aab5-97ca2de28668,2014-07-08T09:10:40
