sex,age,heard_of,sectionA_prc_response,sectionA_prc_prepare,sectionA_prc_top,sectionA_prc_yolanda,sectionA_rcrc_principles_humanity,sectionA_rcrc_principles_impartiality,sectionA_rcrc_principles_neutrality,sectionA_rcrc_principles_independence,sectionA_rcrc_principles_voluntary,sectionA_rcrc_principles_unity,sectionA_rcrc_principles_universality,sectionA_rcrc_principles_dk,sectionA_prc_services_dms,sectionA_prc_services_blood,sectionA_prc_services_safety,sectionA_prc_services_health,sectionA_prc_services_social,sectionA_prc_services_volunteer,sectionA_prc_services_ihl,sectionA_prc_services_other,sectionA_prc_services_dk,sectionA_prc_services_other,sectionB_donor_items,sectionB_items_freq,sectionB_donor_money,sectionB_money_freq,sectionB_donor_blood,sectionB_blood_freq,sectionB_volunteer,sectionB_volunteer_freq,sectionB_member,sectionB_member_type,sectionB_member_length,picture_question,picture_consent,picture_image,interview_location,_interview_location_latitude,_interview_location_longitude,_interview_location_altitude,_interview_location_precision,deviceid,start,end,today,meta_instanceID,_uuid,_submission_time
female,53,yes,strongly_agree,strongly_agree,neither,strongly_agree,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242850450.jpg,1401242862459.jpg,14.58395337758189 120.9909763598369 55.477692686014215 32.0,14.58395338,120.9909764,55.47769269,32,3.52218E+14,2014-05-28T09:40:40.335+08,2014-05-28T10:27:54.670+08,5/28/14,uuid:9ea31ba2-7250-4e2b-a9d0-c9caf5b0fc8a,9ea31ba2-7250-4e2b-a9d0-c9caf5b0fc8a,2014-05-28T03:02:42
male,35,yes,agree,agree,agree,agree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401243873500.jpg,1401243884325.jpg,14.574385822340519 120.98412021822347 16.067468218274215 12.0,14.57438582,120.9841202,16.06746822,12,3.53408E+14,2014-05-28T10:20:35.890+08,2014-05-28T10:25:03.474+08,5/28/14,uuid:d14dd346-4f02-4fce-b4c7-bf9bf2436f60,d14dd346-4f02-4fce-b4c7-bf9bf2436f60,2014-05-28T03:02:30
female,57,yes,strongly_agree,disagree,agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401243162071.jpg,1401243190682.jpg,n/a,n/a,n/a,n/a,n/a,3.52218E+14,2014-05-28T10:06:22.738+08,2014-05-28T10:13:22.116+08,5/28/14,uuid:00bc5a0e-1826-4de1-b0e9-15f83e7840b6,00bc5a0e-1826-4de1-b0e9-15f83e7840b6,2014-05-28T03:02:23
male,34,yes,agree,agree,strongly_agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,14.574097171404157 120.98435552674485 91.19645403405836 16.0,14.57409717,120.9843555,91.19645403,16,3.53408E+14,2014-05-28T10:29:20.296+08,2014-05-28T10:34:58.607+08,5/28/14,uuid:6f0c075e-5e3b-4c95-b24b-87b5d223165a,6f0c075e-5e3b-4c95-b24b-87b5d223165a,2014-05-28T03:02:43
female,49,yes,agree,strongly_disagree,agree,strongly_disagree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,elevenplus,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242594244.jpg,1401242614383.jpg,n/a,n/a,n/a,n/a,n/a,3.52218E+14,2014-05-28T09:57:57.682+08,2014-05-28T10:04:28.902+08,5/28/14,uuid:3ec4d8a9-7730-4dc6-907f-ba123abd218a,3ec4d8a9-7730-4dc6-907f-ba123abd218a,2014-05-28T03:01:52
male,65,yes,agree,agree,agree,agree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401243527821.jpg,1401243555002.jpg,14.57424085050125 120.98453178910165 60.388095365104014 12.0,14.57424085,120.9845318,60.38809537,12,3.53408E+14,2014-05-28T09:56:39.353+08,2014-05-28T10:19:39.873+08,5/28/14,uuid:d8e04c27-d839-45af-be77-0ded501e1a8f,d8e04c27-d839-45af-be77-0ded501e1a8f,2014-05-28T03:01:31
female,32,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,1401242247089.jpg,1401242263198.jpg,n/a,n/a,n/a,n/a,n/a,3.52218E+14,2014-05-28T09:54:02.718+08,2014-05-28T10:59:10.785+08,5/28/14,uuid:797057ae-40ce-4b8e-8b99-9514b6e6db73,797057ae-40ce-4b8e-8b99-9514b6e6db73,2014-05-28T03:01:07
female,45,yes,agree,agree,agree,agree,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.66242E+14,2014-05-28T10:08:22.833+08,2014-05-28T10:46:07.289+08,5/28/14,uuid:c9c3be27-e163-4106-ae74-a614a56b0d17,c9c3be27-e163-4106-ae74-a614a56b0d17,2014-05-28T03:00:26
male,21,yes,agree,dontknow,agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401241709230.jpg,1401241731206.jpg,14.574375325982452 120.98556968474495 48.686152460529556 24.0,14.57437533,120.9855697,48.68615246,24,3.53408E+14,2014-05-28T09:24:58.356+08,2014-05-28T09:52:36.377+08,5/28/14,uuid:8fd7bc7e-9f7b-4e23-ac80-dbb8e80bc0ec,8fd7bc7e-9f7b-4e23-ac80-dbb8e80bc0ec,2014-05-28T02:50:22
male,56,yes,agree,agree,agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242641799.jpg,1401242656407.jpg,14.573821314282762 120.98599958276363 64.48346009456905 48.0,14.57382131,120.9859996,64.48346009,48,3.53408E+14,2014-05-28T10:00:11.998+08,2014-05-28T10:05:33.435+08,5/28/14,uuid:2031aa10-5e0f-45a4-89d3-1ee071244424,2031aa10-5e0f-45a4-89d3-1ee071244424,2014-05-28T02:43:55
